Harry Perros
Injong Rhee
James C. Lester
Jon Doyle
Kemafor Anyanwu Ogan
Khaled Harfoush
Kristy Elizabeth Boyer
Laurie Williams
Matthias Stallmann
Michael Rappa
Michael Young
Min Chi
Mladen Vouk
Munindar P. Singh
Nagiza Samatova
Peng Ning
R. Michael Young
Rada Y. Chirkova
Randy Avent
Robert D. Rodman
Robert Fornaro
Robert St. Amant
Rudra Dutta
Sarah Heckman
Steffen Heber
Tiffany Barnes
Ting Yu
Vincent W. Freeh
William Enck
William J. Stewart
Xiaohui (Helen) Gu
Xiaosong Ma
Xuxian Jiang
Abraham H Haddad
Aggelos Katsaggelos
Alan V Sahakian
Aleksandar Kuzmanovic
Allen Taflove
Alok N Choudhary
Arthur Butz
Benjamin Watson
Brenna D Argall
Bryan Pardo
Chang Liu
Chi-Haur Wu
Christopher Riesbeck
Chung-Chieh Lee
Don Norman
Dongning Guo
Doug Downey
Fabin E Bustamante
Goce Trajcevski
Gokhan Memik
Hai Zhou
Haoqi Zhang
Hooman Mohseni
Horace Yuen
Ian Horswill
Jack Tumblin
Jason D Hartline
Kenneth D Forbus
Koray Aydin
Kristian Hammond
Larry Birnbaum
Lawrence Henschen
Louis Gomez
Manijeh Razeghi
Martin Plonus
Matthew Grayson
Michael Honig
Michael Horn
Ming-Yang Kao
Morteza Amir Rahimi
Nikos Hardavellas
Oliver (Ollie) S Cossairt
Peter A Dinda
Peter Scheuermann
Prem Kumar
Randall Berry
Randy Freeman
Robby Findler
Robert P Dick
Russ Joseph
Seda Ogrenci Memik
Selim Shahriar
Seng-Tiong Ho
Thrasyvoulos N Pappas
Tom Hinrichs
Uri Wilensky
Wei-Chung Lin
Yan Chen
Ying Wu
Anastasios Sidiropoulos
Anish Arora
Arnab Nandi
Atanas Rountev
Brian Kulis
Christopher Stewart
Chunyi Peng
Dhabaleswar K (DK) Panda
DeLiang Wang
Dong Xuan Xuan
Eric Fosler-Lussier
Facundo Memoli
Feng Qin
Gagan Agrawal
Han-Wei Shen
Huamin Wang
Jim Davis
Kannan Srinivasan
Kenneth Supowit
Luis Rademacher
Michael Bond
Mikhail Belkin
Neelam Soundarajan
Ness Shroff
Nicoleta Roman
P. Sadayappan
Paul Sivilotti
Prasun Sinha
Radu Teodorescu
Raghu Machiraju
Rephael Wenger
Roger Crawfis
Spyros Blanas
Srinivasan Parthasarathy
Tamal Dey
Ten-Hwang Steve Lai
Xiaodong Zhang
Yusu Wang
Adam Smith
Anand Sivasubramaniam
Bhuvan Urgaonkar
Chita R. Das
Daniel Kifer
George Kesidis
Guohong Cao
Jesse Barlow
John (Jack) Sampson
John Carroll
John Hannan
John J. Metzner
Kamesh Madduri
Lee Coraor
Mahmut Kandemir
Martin Furer
Mary Jane Irwin
Padma Raghavan
Patrick D. McDaniel
Paul Medvedev
Piotr Berman
Raj Acharya
Robert Collins
Sean Hallgren
Sencun Zhu
Sofya Raskhodnikova
Thomas La Porta
Trent Jaeger
Vijaykrishnan Narayanan
Wang-Chien Lee
Webb C. Miller
Yanxi Liu
Yuan Xie
Adam Finkelstein
Andrea LaPaugh
Andrew Appel
Arvind Narayanan
Bernard Chazelle
Brian Kernighan
David August
David Blei
David Dobkin
David Walker
Douglas Clark
Edward Felten
Jaswinder Singh
Jennifer Rexford
Jianxiong Xiao
Kai Li
Margaret Martonosi
Mark Braverman
Michael Freedman
Mona Singh
Moses Charikar
Olga Troyanskaya
Rebecca Fiebrink
Robert Schapire
Robert Sedgewick
Robert Tarjan
Sanjeev Arora
Sebastian Seung
Szymon Rusinkiewicz
Thomas Funkhouser
Vivek Pai
Zeev Dvir
Aditya P. Mathur
Ahmed Elmagarmid
Ahmed Sameh
Aman Yadav
Ananth Grama
Bharat Bhargava
Bradley Lucier
Buster Dunsmore
Chris Clifton
Chris Hoffmann
Cristina Nita-Rotaru
Daisuke Kihara
Daniel Aliaga
David Gleich
Dongyan Xu
Douglas Comer
Elena Grigorescu
Elisa Bertino
Elisha Sacks
Eugene H. Spafford
Greg N. Frederickson
Jan Vitek
Jeffrey M. Siskind
Jennifer Neville
Luo Si
Mikhail Atallah
Ninghui Li
Olga Vitek
Patrick Thomas Eugster
Ramana Kompella
Robert D. Skeel
S. V. N. Vishwanathan
Sabre Kais
Samuel Wagstaff
Saugata Basu
Sonia Fahmy
Sunil Prabhakar
Suresh Jagannathan
Susanne Hambrusch
T. N. Vijaykumar
Tony Hosking
Walid Aref
Wojciech Szpankowski
Xavier Tricoche
Xiangyu Zhang
Yi Wu
Yung-Hsiang Lu
Zhiyuan Li
Ana Milanova
Barbara Cutler
Boleslaw Szymanski
Carlos Varela
Charles Stewart
Christopher Bystroff
Christopher Carothers
David Isaacson
David Spooner
Elliot Anshelevich
Francine Berman
Heng Ji
Jeff Trinkle
Jim Hendler
Lirong Xia
Malik Magdon-Ismail
Mark Goldberg
Martin Hardwick
Michael Wozny
Mohammed Zaki
Mukkai Krishnamoorthy
Petros Drineas
Ron Eglash
Selmer Bringsjord
Sergei Nirenburg
Sibel Adali
Stacy Patterson
Wayne Gray
Wm. Randolph Franklin
Alan L. Cox
Chris M. Jermaine
Dan S. Wallach
David B. Johnson
Devika Subramanian
James McLurkin
Joe Warren
John Mellor-Crummey
Keith D. Cooper
Krishna V. Palem
Luay K. Nakhleh
Lydia E. Kavraki
Moshe Y. Vardi
Robert 'Corky' Cartwright
Ronald N. Goldman
Scott Cutler
Scott Rixner
Swarat Chaudhuri
T. S. Eugene Ng
Vivek Sarkar
Abhishek Bhattacharjee
Ahmed Elgammal
Alex Borgida
Alexander Schliep
Amelie Marian
Apostolos Gerasoulis
Badri Nath
Bahman Kalantari
Casimir Kulikowski
David Cash
Dimitris Metaxas
Endre Szemeredi
Eric Allender
Gerard Richter
Kostas Bekris
Liviu Iftode
Louis Steinberg
Mario Szegedy
Martin Farach-Colton
Matthew Stone
Michael Fredman
Michael Grigoriadis
Naftaly Minsky
Ping Li
Rebecca Wright
Ricardo Bianchini
Richard Martin
Santosh Nagarakatte
Shan Muthukrishnan
Shubhangi Saraf
Swastik Kopparty
Thu Nguyen
Tina Eliassi-Rad
Tomasz Imielinski
Ulrich Kremer
Vinod Ganapathy
Vladimir Pavlovic
William Stieger
Zheng Zhang
Alex Aiken
Andrew Ng
Anshul Kundaje
Balaji Prabhakar
Bill Dally
Chris Manning
Chris Re
Christos Kozyrakis
Dan Boneh
Daphne Koller
David Cheriton
David L. Dill
David Mazieres
David R. Cheriton
Dawson Engler
Eric Roberts
Fei-Fei Li
Gill Bejerano
Greg Valiant
Hector Garcia-Molina
Jennifer Widom
John Hennessy
John Mitchell
John Ousterhout
Jure Leskovec
Ken Salisbury
Kunle Olukotun
Leonidas Guibas
Luca Trevisan
Marc Levoy
Mark Horowitz
Mehran Sahami
Mendel Rosenblum
Michael Bernstein
Mike Genesereth
Monica Lam
Nick McKeown
Oussama Khatib
Patrick Hanrahan
Percy Liang
Philip Levis
Ron Fedkiw
Ryan Williams
Sachin Katti
Sebastian Thrun
Serafim Batzoglou
Silvio Savarese
Stephen Cooper
Subhasish Mitra
Tim Roughgarden
Virginia Williams
Yoav Shoham
Allen Tannenbaum
Anita Wasilewska
Annie Liu
Anshul Gandhi
Arie Kaufman
C.R. Ramakrishnan
Dimitris Samaras
Donald Porter
Erez Zadok
Eugene Stark
Himanshu Gupta
Hong Qin
Hussein Badr
I.V. Ramakrishnan
Jie Gao
Jing Chen
Klaus Mueller
Larry D. Wittie
Leman Akoglu
Leo Bachmair
Long Lu
Luis Ortiz
Michael Bender
Michael Ferdman
Michael Kifer
Phillipa Gill
R. Sekar
Radu Sion
Rezaul Chowdhury
Rob Johnson
Samir Das
Scott A. Smolka
Scott Stoller
Steve Skiena
Xianfeng Gu
Yejin Choi
Aaron Ames
Andreas Klappenecker
Andruid Kerne
Anxiao (Andrew) Jiang
Daniel A. Jiménez
Daniel W. Goldberg
Dezhen Song
Dmitri Loguinov
Duncan M. Walker
Dylan Shell
Ergun Akleman
Eun Jung Kim
Evdokia Nikolova
Francis Quek
Frank M. Shipman
Guofei Gu
J. Maurice Rojas
Jaakko Jarvi
James Caverlee
Jennifer L. Welch
Jianer Chen
Jinxiang Chai
John Keyser
Jyh-Charn (Steve) Liu
Lawrence Rauchwerger
Maurice Rojas
Nancy M. Amato
Rabi N. Mahapatra
Radu Stoleru
Ricardo Gutierrez-Osuna
Riccardo Bettati
Richard Furuta
Robin R. Murphy
Scott Schaefer
Sing-Hoi Sze
Thomas R. Ioerger
Tiffani L. Williams
Timothy Alden Davis
Tracy Anne Hammond
Valerie E. Taylor
Vivek Sarin
Yoonsuck Choe
Greg Andrews
Christian Collberg
Saumya Debray
Peter J. Downey
Alon Efrat
Chris Gniady
John H. Hartman
John Kececioglu
Stephen Kobourov
David Lowenthal
Larry Peterson
Todd Proebsting
Carlos Scheidegger
Richard T. Snodgrass
Beichuan Zhang
Kobus Barnard
Sandiway Fong
Sudha Ram
Alexei (Alyosha) Efros
Alistair Sinclair
Anthony D. Joseph
Armando Fox
Benjamin Recht
Bernd Sturmfels
Björn Hartmann
Brian A. Barsky
Christos Papadimitriou
Daniel Klein
David A. Patterson
David E. Culler
David Wagner
Dawn Song
Doug Tygar
Elchanan Mossel
Eric Brewer
Eric Paulos
George Necula
Ion Stoica
James Demmel
James O'Brien
Jitendra Malik
John D. Kubiatowicz
John F. Canny
John Wawrzynek
Jonathan Shewchuk
Joseph M. Hellerstein
Katherine A. Yelick
Ken Goldberg
Koushik Sen
Krste Asanovic
Lior Pachter
Maneesh Agrawala
Marti Hearst
Michael Franklin
Michael Jordan
Nir Yosef
Peter Bartlett
Pieter Abbeel
Prasad Raghavendra
Randy H. Katz
Ras Bodik
Richard M. Karp
Ruzena Bajcsy
Satish Rao
Scott Shenker
Stuart J. Russell
Sylvia Ratnasamy
Tapan S. Parikh
Thomas Griffiths
Umesh Vazirani
Vern Paxson
Yun S. Song
Bernd Hamann
Bertram Ludaescher
Biswanath Mukherjee
Daniel M. Gusfield
Dipak Ghosal
Francois Gygi
Hao Chen
Ian Davidson
Ilias Tagkopoulos
Karl N. Levitt
Kennet I. Joy
Kwan-Liu Ma
Matthew A. Bishop
Matthew Franklin
Matthew K. Farrens
Michael Neff
Nelson Max
Nina Amenta
Norman S. Matloff
Patrice Koehl
Phillip W. Rogaway
Prasant Mohapatra
Premkumar T. Devanbu
Raissa D'Souza
Raju Pandey
Ronald A. Olsson
S. Felix Wu
Vladimir Filkov
Xin Liu
Zhaojun Bai
Zhendong Su
Aditi Majumder
Alexander Ihler
Alexander Nicolau
Alexander Veidenbaum
Alfred Kobsa
Amelia C. Regan
Andre van der Hoek
Babak Shahbaba
Bill Tomlinson
Bonnie Nardi
Charless Fowlkes
Chen Li
Cristina V. Lopes
Dan Frost
Daniel Gillen
Daniel S. Hirschberg
David Eppstein
David Redmiles
Deva Ramanan
Donald J. Patterson
Elaheh (Eli) Bozorgzadeh
Eric Mjolsness
Gary M. Olson
Gene Tsudik
Gillian R Hayes
Gloria Mark
Gopi Meenakshisundaram
Hal Stern
Harry Xu
Hernando Ombao
Ian G. Harris
Issac D. Scherson
James A. Jones
Jessuca Utts
Judy Olson
Lubomir Bic
Magda El Zarki
Marco Levorato
Max Welling
Michael Dillencourt
Michael Franz
Michael J. Carey
Michael T. Goodrich
Nalini Venkatasubramanian
Nikil Dutt
Padhraic Smyth
Paul Dourish
Pierre Baldi
Richard Lathrop
Rina Dechter
Sandy Irani
Scott Jordan
Sharad Mehrotra
Stanislaw Jarecki
Tony Givargis
Wayne Hayes
Wesley O. Johnson
Xiaohui Xie
Yaming Yu
Yunan Chen
Zhaixia Yu
Adnan Darwiche
Alan Yuille
Alexander Sherstov
Alfonso F. Cardenas
Amit Sahai
Ani Nahapetian
Carlo Zaniolo
Christopher Lee
D. Stott Parker
David Heckerman
Demetri Terzopoulos
Eleazar Eskin
Eliezer Gafni
Glenn Reinman
Jason (Jingsheng) Cong
Jason Ernst
Jens Palsberg
Joseph Distefano III
Judea Pearl
Junghoo (John) Cho
Lixia Zhang
Majid Sarrafzadeh
Mani Srivastava
Mario Gerla
Michael G. Dyer
Milos D. Ercegovac
Miodrag Potkonjak
Rafail Ostrovsky
Richard Korf
Richard R. Muntz
Rupak Majumdar
Sheila Greibach
Song Chun Zhu
Songwu Lu
Stanley Osher
Stefano Soatto
Todd Millstein
Tyson Condie
Wei Wang
Yuval Tamir
Alex C. Snoeren
Alex Orailoglu
Alexander Vardy
Alin Deutsch
Alon Orlitsky
Amin Vahdat
Andrew Kahng
Bill Lin
Bradley Calder
Charles Elkan
Daniel Kane
Daniele Micciancio
David Kriegman
Dean Tullsen
Falko Kuester
Fan Graham
Garrison Cottrell
Geoffrey Voelker
Henrik Jensen
Hovav Shacham
Ingolf Krueger
Jeanne Ferrante
Jeffrey Remmel
Joseph Pasquale
Kamalika Chaudhuri
Keith Marzullo
Larry Smarr
Lawrence Saul
Michael Taylor
Mihir Bellare
Pavel Pevzner
Pradeep Khosla
Rajesh Gupta
Ramamohan Paturi
Ranjit Jhala
Ravi Ramamoorthi
Ronald Graham
Russell Impagliazzo
Ryan Kastner
Sadik Esener
Samuel Buss
Sanjoy Dasgupta
Scott Baden
Scott Klemmer
Serge Belongie
Shachar Lovett
Sorin Lerner
Stefan Savage
Steven Swanson
Tajana Rosing
Trey Ideker
Victor Vianu
Vineet Bafna
William Griswold
Yannis Papakonstantinou
Yoav Freund
Yuanyuan Zhou
Zhuowen Tu
Ambuj K. Singh
Amr El Abbadi
Ben Hardekopf
Ben Y. Zhao
Chandra Krintz
Christopher Kruegel
Divyakant Agrawal
Elizabeth Belding
Fred Chong
Giovanni Vigna
Heather Zheng
Huijia (Rachel) Lin
Jianwen Su
John Gilbert
Kevin Almeroth
Linda Petzold
Matthew Turk
Omer Egecioglu
Peter Cappello
Richard A. Kemmerer
Richard Wolski
Stefano Tessaro
Subhash Suri
Tao Yang
Teofilo Gonzalez
Tevfik Bultan
Theodore Kim
Tim Sherwood
Tobias Hollerer
Wim van Dam
Xifeng Yan
Yuan-Fang Wang
Alexander Razborov
Andrew Chien
Anne Rogers
Gordon Kindlmann
Gregory Shakhnarovich
Haryadi Gunawi
Henry Hoffmann
Ian Foster
Janos Simon
Jinbo Xu
John Goldsmith
John Lafferty
John Reppy
Julia Chuzhoy
Karen Livescu
Ketan Mulmuley
L. Ridgway Scott
Laszlo Babai
Madhur Tulsiani
Michael O'Donnell
Nathan Srebro
Raquel Urtasun
Rick Stevens
Risi Kondor
Robert Soare
Stuart Kurtz
Todd Dupont
Yali Amit
Yury Makarychev
Aaron Clauset
Andrzej Ehrenfeucht
Ann Eisenberg
Bor-Yuh Evan Chang
Clayton Lewis
Debra Goldberg
Dirk Grunwald
Douglas Sicker
Eliana Colunga
Elizabeth Bradley
Elizabeth Jessup
Eric Frew
Eric Keller
Gerhard Fischer
Henry Tufo
James Martin
John Bennett
John Black
Kenneth Anderson
Lawrence Hunter
Leysia Palen
Martha Palmer
Michael Eisenberg
Michael Mozer
Nikolaus Correll
Pavol Cerny
Qin Lv
Richard Han
Rob Knight
Robin Dowell-Deen
Roger King
Shaun Kane
Shivakant Mishra
Sriram Sankaranarayanan
Tamara Sumner
Timothy Brown
Tom Yeh
Xiao-Chuan Cai
Jordan Boyd-Graber
Ahmed Helmy
Alin Dobra
Alireza Entezari
Alper Ungor
Anand Rangarajan
Arunava Banerjee
Baba C. Vemuri
Benjamin C. Lok
Beverly Sanders
Christina M. Gardner-McCune
Corey Toler-Franklin
Daisy Zhe Wang
Damon L. Woodard
Douglas D. Dankel II
Eakta Jain
Jih-Kwon Peir
Jonathan C.L. Liu
Jorg Peters
Jose A.B. Fortes
Joseph N. Wilson
Juan E. Gilbert
Kevin R. B. Butler
Kyla A. McMullen
Lisa Anthony
Manuel E. Bermudez
Markus Schneider
Meera Sitharam
My T. Thai
Paul D. Gader
Patrick Gerard Traynor
Prabhat Mishra
Richard Newman
Sanjay Ranka
Sartaj Sahni
Shigang Chen
Stephen M. Thebaut
