JO,0.083,2.875,0
VICKIE,0.082,2.957,1
MATTIE,0.081,3.038,2
TERRY,0.080,3.118,3
MAXINE,0.079,3.198,4
IRMA,0.079,3.277,5
MABEL,0.078,3.355,6
MARSHA,0.078,3.434,7
MYRTLE,0.078,3.511,8
LENA,0.077,3.589,9
CHRISTY,0.077,3.665,0
DEANNA,0.076,3.742,1
PATSY,0.076,3.818,2
HILDA,0.075,3.893,3
GWENDOLYN,0.074,3.967,4
JENNIE,0.073,4.040,5
NORA,0.073,4.113,6
MARGIE,0.072,4.185,7
NINA,0.072,4.257,8
CASSANDRA,0.072,4.329,9
LEAH,0.072,4.401,0
PENNY,0.071,4.472,1
KAY,0.071,4.543,2
PRISCILLA,0.071,4.614,3
NAOMI,0.071,4.684,4
CAROLE,0.071,4.755,5
BRANDY,0.070,4.825,6
OLGA,0.070,4.895,7
BILLIE,0.069,4.964,8
DIANNE,0.069,5.033,9
TRACEY,0.069,5.102,0
LEONA,0.069,5.171,1
JENNY,0.068,5.239,2
FELICIA,0.068,5.307,3
SONIA,0.068,5.374,4
MIRIAM,0.066,5.440,5
VELMA,0.066,5.506,6
BECKY,0.066,5.572,7
BOBBIE,0.065,5.637,8
VIOLET,0.065,5.702,9
KRISTINA,0.065,5.767,0
TONI,0.064,5.831,1
MISTY,0.063,5.894,2
MAE,0.063,5.957,3
SHELLY,0.062,6.019,4
DAISY,0.062,6.081,5
RAMONA,0.062,6.143,6
SHERRI,0.062,6.205,7
ERIKA,0.061,6.267,8
KATRINA,0.061,6.328,9
CLAIRE,0.061,6.388,0
LINDSEY,0.060,6.448,1
LINDSAY,0.060,6.507,2
GENEVA,0.059,6.567,3
GUADALUPE,0.059,6.626,4
BELINDA,0.059,6.685,5
MARGARITA,0.059,6.743,6
SHERYL,0.059,6.802,7
CORA,0.058,6.860,8
FAYE,0.058,6.917,9
ADA,0.057,6.975,0
NATASHA,0.057,7.032,1
SABRINA,0.057,7.089,2
ISABEL,0.057,7.146,3
MARGUERITE,0.056,7.202,4
HATTIE,0.056,7.257,5
HARRIET,0.056,7.313,6
MOLLY,0.055,7.368,7
CECILIA,0.055,7.424,8
KRISTI,0.055,7.479,9
