"Benjamin C. Lee"
"T. S. Eugene Ng"
"Tomasz Imielinski"
"Garth Gibson"
"Susan B. Davidson"
"Jim Hendler"
"Alin Deutsch"
"Kevin Sullivan"
"Val Tannen"
"Ran Canetti"
"Jens Palsberg"
"Chitta Baral"
"Issac D. Scherson"
"Kenneth Supowit"
"John Ousterhout"
"Swarat Chaudhuri"
"Vincent Conitzer"
"Saurabh Sinha"
"Daniele Micciancio"
"David Garlan"
"Leonard Adleman"
"Hal Abelson"
"Mohammad Hajiaghayi"
"Sanjeev Khanna"
"Alain J. Martin"
"Nickolai Zeldovich"
"Ulrich Neumann"
"Badri Nath"
"Andrea LaPaugh"
"Devin J. Balkcom"
"Sachin Katti"
"Vivek Sarkar"
"Dieter Fox"
"Tomas Lozano-Perez"
"Thomas Fletcher"
"Benjamin Kuipers"
"Concettina Guerra"
"Jennifer Mankoff"
"Volkan Isler"
"Elizabeth Jessup"
"David L. Roberts"
"Hector Garcia-Molina"
"David Alexander Forsyth"
"Lisa Anthony"
"Alan Sussman"
"Scott Jordan"
"Joseph Pasquale"
"Subhash Suri"
"Vinod Ganapathy"
"Don Batory"
"Roy H. Campbell"
"Mary Lou Soffa"
"Geoffrey Voelker"
"Yaser S. Abu-Mostafa"
"Lior Pachter"
"Daniel A. JimA(c)nez"
"Michael Eisenberg"
"John Hannan"
"Tim Roughgarden"
"Roberta Klatzky"
"Susan H. Rodger"
"Klara Nahrstedt"
"John E. Hopcroft"
"Prem Kumar"
"Emery Berger"
"Angelos Keromytis"
"Andrea Arpaci-Dusseau"
"Divyakant Agrawal"
"Robert Daley"
"Ilias Tagkopoulos"
"Cristina V. Lopes"
"Scott Klemmer"
"Randy H. Katz"
"Todd Dupont"
"Roger Chamberlain"
"Derek W. Hoiem"
"Yuriy Brun"
"Samuel Madden"
"Alex Endert"
"Brian Nelson"
"Annie AntA3n"
"Michael Littman"
"Ananth Grama"
"Laurie Williams"
"Xianghong Jasmine Zhou"
"Aniket Kittur"
"Aviral Shrivastava"
"DeLiang Wang"
"Adrien Treuille"
"Cyrus Shahabi"
"Jonathan Shewchuk"
"Dylan Shell"
"Beki Grinter"
"Alan Yuille"
"Chris Manning"
"Chris Atkeson"
"Janos Simon"
"Rajeev Alur"
"Henry Hoffmann"
"Shwetak Patel"
"James Anderson"
"Cynthia Sturton"
"Anind Dey"
"Elisa Bertino"
"Michael Collins"
"Radu Stoleru"
"Bradley Calder"
"Huamin Wang"
"Trey Ideker"
"Jimeng Sun"
"Luis Rademacher"
"Matt Mason"
"John Tsitsiklis"
"Stuart M. Shieber"
"Betsy DiSalvo"
"Julie Dorsey"
"James Hays"
"Ziv Bar-Joseph"
"Ellen Zegura"
"Aditya Akella"
"Dan Rubenstein"
"Michael Kifer"
"Steven Dow"
"Peter Schroeder"
"Stephen McCamant"
"Henry Kautz"
"Charles Elkan"
"Brian L. Curless"
"Jianbo Shi"
"Satinder Singh Baveja"
"Tyson Condie"
"Richard Wolski"
"David Kempe"
"Pete Keleher"
"Andrew Moore"
"Michael Franklin"
"Tom M. Mitchell"
"Samuel T. King"
"Barbara Ryder"
"Marco Caccamo"
"Roger King"
"Sorin Istrail"
"Susanne Hambrusch"
"Adam Klivans"
"Ronald Rivest"
"J. Andrew (Drew) Bagnell"
"Gul Agha"
"Mani Srivastava"
"Francois Gygi"
"Johannes Gehrke"
"Ting Yu"
"Aiichiro Nakano"
"Petros Drineas"
"Ugur Cetintemel"
"Kenneth Perlin"
"Michael Ferdman"
"Ling Liu"
"Paul Barford"
"Philipp Koehn"
"Alexander Gray"
"Yoav Shoham"
"Ellis Horowitz"
"Magdalena Balazinska"
"Svetlana Lazebnik"
"Dezhen Song"
"Umesh Vazirani"
"Dragomir Radev"
"Margaret H. Wright"
"Luca Daniel"
"Michael Casey"
"Frank Mueller"
"Anna Lysyanskaya"
"Karsten Schwan"
"Michael Arbib"
"Daniel Kane"
"Rada Y. Chirkova"
"John Hollerbach"
"Thomas Vidick"
"John Anderson"
"Mark S. Ackerman"
"Michael O'Donnell"
"Martin Plonus"
"John Criswell"
"Robert Tarjan"
"Amin Vahdat"
"Elizabeth Bradley"
"Brian Kulis"
"Collin Stultz"
"Shachar Lovett"
"Luis VonAhn"
"Tracy Anne Hammond"
"Ralph Grishman"
"Scott Rixner"
"Oren Etzioni"
"Eric Price"
"Nikolaos Papanikolopoulos"
"George Karypis"
"Vladimir Jojic"
"Allan Gottlieb"
"Scott Mahlke"
"Bill Dally"
"Donald Loveland"
"Han-Wei Shen"
"Alexis Battle"
"Vladimir Filkov"
"Shuchi Chawla"
"Randy Avent"
"Jose A.B. Fortes"
"Hongyuan Zha"
"Assaf J. Kfoury"
"Vladimir Rokhlin"
"Rida Bazzi"
"Erik Sudderth"
"Richard Korf"
"Yong Cao"
"Omer Egecioglu"
"Alex Berg"
"Jeffrey Naughton"
"Calvin Lin"
"Buster Dunsmore"
"Gregory Hager"
"Eugene Stark"
"Matt Blaze"
"Demosthenis Teneketzis"
"Jeff Trinkle"
"Yanif Ahmad"
"Gagan Agrawal"
"Ahmed Sameh"
"Prasad Raghavendra"
"Amelie Marian"
"Michael Walfish"
"Tian He"
"Daniel S. Hirschberg"
"Christopher Umans"
"Martin Hardwick"
"Raquel Urtasun"
"Christopher Dyer"
"Todd Millstein"
"Yin Zhang"
"Alex Borgida"
"Fei Sha"
"Alan V Sahakian"
"Glenn Reinman"
"Alex C. Snoeren"
"Lorenzo Alvisi"
"Steven Swanson"
"Scott C. Schmidler"
"Sofya Raskhodnikova"
"Ashok Agrawala"
"Chang-Tien Lu"
"Shahram Ghandeharizadeh"
"Stefano Soatto"
"Jaswinder Singh"
"Erin Parker"
"Svetlana Yarosh"
"Sadik Esener"
"Huan Liu"
"Peter N. Belhumeur"
"James A. Fogarty"
"Elliot Anshelevich"
"Leonard J. Schulman"
"Daisy Zhe Wang"
"Yechiam Yemini"
"Joseph M. Hellerstein"
"Mahesh Viswanathan"
"Zvonimir Rakamaric"
"Shamkant Navathe"
"E. Gun Sirer"
"David Sontag"
"Rodrigo Fonseca"
"Michael Jordan"
"Chris M. Jermaine"
"Hari Balakrishnan"
"Mohamed G. Gouda"
"Paul S. Rosenbloom"
"Ryan Kastner"
"Paul Valiant"
"Michael Ferris"
"Michael Taylor"
"Madhav Marathe"
"Joseph N. Wilson"
"Klaus Mueller"
"Annie Liu"
"Maria Balcan"
"Anupam Datta"
"Manijeh Razeghi"
"Anshul Kundaje"
"Daniel Stefankovic"
"Ronald E. Parr"
"Sibel Adali"
"Jack C Wileden"
"Kayvon Fatahalian"
"Polo Chau"
"Umakishore Ramachandran"
"Garrison Cottrell"
"John Knight"
"Vipin Kumar"
"Jennifer Golbeck"
"Minlan Yu"
"Leman Akoglu"
"Bharat Bhargava"
"Shivakant Mishra"
"Michael Neff"
"Laurent Itti"
"Jeffrey Foster"
"Lorenzo Torresani"
"Raj Jain"
"David A. Padua"
"Andrea Thomaz"
"Kevin Chen-Chuan Chang"
"Georgios Fainekos"
"John Mitchell"
"Ethan Katz-Bassett"
"Constantine Dovrolis"
"Brian A. Barsky"
"Malik Magdon-Ismail"
"Haryadi Gunawi"
"Kannan Srinivasan"
"Erez Zadok"
"S. Felix Wu"
"Steve Marschner"
"H.T. Kung"
"Cliff Shaffer"
"Sampath Kannan"
"David A. Mix Barrington"
"Clifford Stein"
"Stephanie Weirich"
"Chau-Wen Tseng"
"Hai Zhou"
"Richard Han"
"Andrew McCallum"
"Manoj M. Prabhakaran"
"Nikolaus Correll"
"Rajesh Gupta"
"Pen-Chung Yew"
"Sanjeev Arora"
"Susan Hohenberger"
"Michael Fredman"
"Robert Kass"
"Thomas H. Cormen"
"Nathan Srebro"
"Suchi Saria"
"Ping Li"
"Michael Honig"
"Michael Fischer"
"Andre Platzer"
"Insup Lee"
"Joseph Y. Halpern"
"Patrice Koehl"
"Michael Swift"
"Francisco Valero-Cuevas"
"Richard Scheines"
"Michael Bond"
"David Stotts"
"James H. Waldo"
"Shan Muthukrishnan"
"Seda Ogrenci Memik"
"Biswanath Mukherjee"
"Al Davis"
"Richard Cole"
"Gary Bishop"
"Ye Xia"
"Katrina Ligett"
"Manuel A. A. PA(c)rez-QuiA+-ones"
"Joe Warren"
"Donald J. Patterson"
"Shi-Kuo Chang"
"Robin Dowell-Deen"
"Richard A. Lucic"
"Robert Fornaro"
"Daniel S. Weld"
"Alan K. Cline"
"Paul Sivilotti"
"Eric Bach"
"Jasleen Kaur"
"John Kececioglu"
"Jennifer Widom"
"Robert Moll"
"Duncan M. Walker"
"Silvia Ferrari"
"Chee K. Yap"
"Rui Wang"
"Taieb Znati"
"Shan Lu"
"B. Aditya Prakash"
"Zhuoqing Morley Mao"
"Ness Shroff"
"David August"
"Alexander Barg"
"Hao Li"
"John Stasko"
"Raj Reddy"
"Kennet I. Joy"
"Ben Watson"
"Joel I. Seiferas"
"Ron Eglash"
"Matthew Green"
"Krishna V. Palem"
"Wayne Hayes"
"Anish Arora"
"Deepak Ganesan"
"Vincent Aleven"
"Merrick Furst"
"David Brumley"
"Robin H. Kravets"
"Nina Amenta"
"Eric Poe Xing"
"Alexander Sherstov"
"Padma Raghavan"
"Srinivasan Parthasarathy"
"Sunil Prabhakar"
"Ten-Hwang Steve Lai"
"Harry R. Lewis"
"Babak Shahbaba"
"Deborah Joseph"
"Daniel Mosse"
"Joseph Konstan"
"Onur Mutlu"
"Roberto Tamassia"
"Fabin E Bustamante"
"Michael Brent"
"Jignesh Patel"
"Sugih Jamin"
"Roni Rosenfeld"
"Sharon Goldberg"
"Gopalan Nadathur"
"Bruce Walker"
"Daniel A. Spielman"
"Balaji Prabhakar"
"Larry D. Wittie"
"Colin Potts"
"Mayur Naik"
"Tony Jebara"
"Jorg Peters"
"Jonathan C.L. Liu"
"Stanley Osher"
"Jessica Hammer"
"Rahul Sarpeshkar"
"Xiaobai Sun"
"Shyam Gollakota"
"Jeff Heer"
"Xi Chen"
"Krishnendu Chakrabarty"
"Tamara Sumner"
"Yali Amit"
"David Andersen"
"Rezaul Chowdhury"
"Anupam Gupta"
"Bhubaneswar Mishra"
"Majid Sarrafzadeh"
"Amr El Abbadi"
"Beichuan Zhang"
"BjAPrn Hartmann"
"Judea Pearl"
"Todd Mowry"
"Eric Gilbert"
"Peter Steenkiste"
"Rajiv Kalia"
"Walid Aref"
"John Lafferty"
"Franco Preparata"
"Alin Dobra"
"Leonard McMillan"
"Helen Nissenbaum"
"Kirk W. Cameron"
"Joan Feigenbaum"
"Ernest Davis"
"Farnam Jahanian"
"Murali Annavaram"
"Benjamin M. Marlin"
"Rina Dechter"
"Tony Hosking"
"Nancy Pollard"
"David Evans"
"Albert Meyer"
"Mitch Marcus"
"Edward Gehringer"
"Douglas Clark"
"Scott Shenker"
"Frank M. Shipman"
"Rajeev Barua"
"Jonathan Appavoo"
"Daniel P. Huttenlocher"
"Joseph Ja' Ja'"
"Lubomir Bic"
"Zach Ives"
"Dan Sheldon"
"Charles Dyer"
"Scott Baden"
"Ramalingam Chellappa"
"Ben Shneiderman"
"Timothy Lenoir"
"Chandra Krintz"
"Ross Tate"
"Gail E. Kaiser"
"Padhraic Smyth"
"Seymour Goodman"
"David Walker"
"Christos Papadimitriou"
"Pedro Domingos"
"Vineet Bafna"
"Jay Kuo"
"John Stankovic"
"Janyce Wiebe"
"Boleslaw Szymanski"
"Andrew Myers"
"Rajesh Rao"
"Alexander J. Smola"
"Moshe Y. Vardi"
"BarnabA!s PA3czos"
"Viktor K. Prasanna"
"Prashant Shenoy"
"Karthikeyan Sankaralingam"
"Ronald A. Olsson"
"Vivek Srikumar"
"Khaled Harfoush"
"Tuba Yavuz-Kahveci"
"Yousef Saad"
"Philip Klein"
"Stephen Lu"
"Amol Deshpande"
"Zeeshan H. Syed"
"Lee Coraor"
"Tuomas Sandholm"
"Sanjoy Dasgupta"
"Shriram Krishnamurthi"
"Mladen Vouk"
"Jeff Weiss"
"Carl Kingsford"
"Wei Wang"
"Todd Proebsting"
"David Spooner"
"Steven D. Gribble"
"Selim Shahriar"
"Luay K. Nakhleh"
"Sergey Bratus"
"Stephen Cooper"
"Evangelos Kalogerakis"
"Li-Shiuan Peh"
"Bhuvan Urgaonkar"
"Sanmay Das"
"William R. Cook"
"Martin Berzins"
"Ken Salisbury"
"Aaron Clauset"
"Thomas Reps"
"Falko Kuester"
"Violet Syrotiuk"
"Sonia Fahmy"
"Silvio Micali"
"Georg Essl"
"David Mount"
"Eftychios Sifakis"
"Venkat Venkatasubramanian"
"Ambuj K. Singh"
"Rance Cleaveland"
"Rick Stevens"
"Srinivasan Seshan"
"Webb C. Miller"
"Alex Orailoglu"
"Martin J. Strauss"
"David Sturgill"
"Mehran Sahami"
"Eun Jung Kim"
"Nate Foster"
"Mike Genesereth"
"Indranil Gupta"
"Muriel Medard"
"Sartaj Sahni"
"Hui Zhang"
"Wesley O. Johnson"
"David E. Culler"
"Roderic A Grupen"
"Selmer Bringsjord"
"Noah Snavely"
"Jitendra Malik"
"Konstantinos Daskalakis"
"Vijaya Ramachandran"
"Daniel J. Sorin"
"Christopher Langmead"
"Vijay Vazirani"
"Prabal Dutta"
"David Laidlaw"
"Stephen A. Edwards"
"Dawn Song"
"Elchanan Mossel"
"Gaetano Borriello"
"Liviu Iftode"
"Robert A. Van de Geijn"
"Yunan Chen"
"Dennis Shasha"
"Matthew Caesar"
"Pinaki Mazumder"
"David M. Brooks"
"Peter Cappello"
"Evimaria Terzi"
"Sayan Mukherjee"
"Douglas Comer"
"Chris Callison-Burch"
"William Griswold"
"Jose Meseguer"
"Wenjing Lou"
"John Aloimonos"
"Goce Trajcevski"
"Mark Crovella"
"John E. Laird"
"Gevorg Grigoryan"
"Mukkai Krishnamoorthy"
"Ron Weiss"
"Zoran Popovic"
"Andrew Chien"
"Nikos Hardavellas"
"William Scherlis"
"Worthy Martin"
"Sneha Kasera"
"Xia Zhou"
"Anselmo Lastra"
"Cristina Nita-Rotaru"
"Amitabh Varshney"
"Yiling Chen"
"Karem A. Sakallah"
"Michael T. Goodrich"
"Donald Chiarulli"
"Injong Rhee"
"Jeffrey M. Siskind"
"Songwu Lu"
"Suresh Venkatasubramanian"
"James Herbsleb"
"William Peake"
"Subhash Khot"
"Stefan Schaal"
"John P. Hayes"
"John Regehr"
"Amy Bruckman"
"Serge Belongie"
"Bryan Pardo"
"Martha Palmer"
"Samuel Wagstaff"
"Satish Rao"
"H. Venkateswaran"
"Steven Low"
"Grigore Rosu"
"Scott A. Smolka"
"Russell Impagliazzo"
"Eakta Jain"
"Georg Seelig"
"Eliezer Gafni"
"Eric Keller"
"Benjamin C. Pierce"
"Ion Stoica"
"Frank Pfenning"
"Raluca-Mihaela Gordan"
"Richard Lathrop"
"Dongyan Xu"
"Craig Caldwell"
"Jeffrey Eppinger"
"Randal Burns"
"Manuel Blum"
"Douglas Oard"
"Lauren Wilcox"
"Julia Hirschberg"
"Abhishek Bhattacharjee"
"Yisong Yue"
"Brent Waters"
"Robert L. Bryant"
"Ani Nenkova"
"Piotr Berman"
"Atanas Rountev"
"Ergun Akleman"
"Sylvia Ratnasamy"
"Stephen Guy"
"Robert Lewis (Scot) Drysdale III"
"Julia Chuzhoy"
"Mauro Maggioni"
"Rakesh Vohra"
"Martin Furer"
"Stephen Brookes"
"Alexander Schliep"
"Arvind Narayanan"
"Alok N Choudhary"
"Godmar Back"
"Jonathan Aldrich"
"Umut Acar"
"Kathleen McKeown"
"M. Ehsan Hoque"
"John Guttag"
"Evdokia Nikolova"
"Christopher Gill"
"Daniel Klein"
"Juan E. Gilbert"
"Jason Lawrence"
"Robert D. Rodman"
"Paul Beame"
"Dipak Ghosal"
"Christopher Bystroff"
"J. Eliot B. Moss"
"Satish Narayanasamy"
"Scott Stoller"
"Piotr Indyk"
"Erik Winfree"
"Patrick Winston"
"Jonathan Turner"
"Ian Foster"
"Ahmed Elgammal"
"Jacob Abernethy"
"Vladimir Braverman"
"Hussein Badr"
"Damon L. Woodard"
"Rafail Ostrovsky"
"George Necula"
"John Reppy"
"Tajana Rosing"
"Devavrat Shah"
"David A. Bader"
"Wm. Randolph Franklin"
"Roch Guerin"
"Luke Zettlemoyer"
"Mark Riedl"
"Michael Rappa"
"Thrasyvoulos N Pappas"
"Stan Sclaroff"
"Jason Nieh"
"Benjamin Langmead"
"Steve Gribble"
"Greg Turk"
"Katherine Heller"
"Carlos Varela"
"Aaron Bobick"
"Lawrence Rauchwerger"
"Thomas Wies"
"Henry Fuchs"
"William H. Press"
"Jan Prins"
"David Karger"
"Vijaykrishnan Narayanan"
"Ellen Do"
"Adam Porter"
"Louis Gomez"
"Matthew K. Farrens"
"Matthew A. Bishop"
"Mark Oskin"
"Chad Jenkins"
"Dexter Kozen"
"John Bennett"
"Richard E. Ladner"
"J. Strother Moore"
"John H. Holland"
"David S. Johnson"
"Alessandro Orso"
"Richard Newman"
"romit roy choudhury"
"Shafrira Goldwasser"
"Chris Dwyer"
"Patrick Hanrahan"
"Randy Freeman"
"Michael Hicks"
"Carlo Tomasi"
"Alon Orlitsky"
"Mendel Rosenblum"
"Rob Johnson"
"Michael Wozny"
"Tadayoshi Kohno"
"Alexandra Meliou"
"Keshav Pingali"
"Carla Gomes"
"Shashi Shekhar"
"Alexander Nicolau"
"Carlos Guestrin"
"Michael Erdmann"
"James C. Lester"
"Daniel Sanchez"
"Anhai Doan"
"Ing-Ray Chen"
"Donald J. Rose"
"Wojciech Szpankowski"
"Nelson Max"
"Dong Xuan Xuan"
"Carla Schlatter Ellis"
"Michael Young"
"Henryk Wozniakowski"
"Robin R. Murphy"
"Quentin F. Stout"
"Tolga Tasdizen"
"Rob A. Rutenbar"
"Steven Nowick"
"Kobus Barnard"
"Elizabeth Mynatt"
"Ashwin Machanavajjhala"
"Ian Horswill"
"Jeffrey Remmel"
"Ketan Mayer-Patel"
"William Freeman"
"Matthew Franklin"
"Pieter Abbeel"
"Seth Teller"
"Alex Kirlik"
"Hasan Davulcu"
"Baba C. Vemuri"
"Richard Furuta"
"Dimitris Samaras"
"Steven Rudich"
"Norman S. Matloff"
"Dan Suciu"
"George Kollios"
"Jonathan Katz"
"David Eppstein"
"Doug A. Bowman"
"Oded Regev"
"Daisuke Kihara"
"Casimir Kulikowski"
"Andy Pavlo"
"David Gelernter"
"Daniel E. Atkins"
"Robert Berwick"
"Viktor Gruev"
"S. Rao Kosaraju"
"Gerald Sussman"
"James Rehg"
"Qin Lv"
"Jesse Barlow"
"Russ Joseph"
"Larry Wasserman"
"Ramamohan Paturi"
"David Van Horn"
"Ross Whitaker"
"Partha Dasgupta"
"Vinod Vaikuntanathan"
"Todd A. Brun"
"Larry Ruzzo"
"Thomas F. Wenisch"
"Michael Dinitz"
"Rabi N. Mahapatra"
"Emerson Murphy-Hill"
"John Black"
"Alfred Weaver"
"Aditya P. Mathur"
"Joel Spencer"
"Julia Constanze Hockenmaier"
"Oussama Khatib"
"Mohammad Mahmoody"
"Sven Koenig"
"Grant Schoenebeck"
"Zhendong Su"
"David B. Johnson"
"David R. Cheriton"
