SALVATORE,0.029,1.946,9
CEDRIC,0.029,1.975,0
LOWELL,0.029,2.004,1
GREGG,0.029,2.032,2
SHERMAN,0.028,2.061,3
WILSON,0.028,2.089,4
DEVIN,0.028,2.117,5
SYLVESTER,0.028,2.145,6
KIM,0.028,2.173,7
ROOSEVELT,0.028,2.201,8
ISRAEL,0.028,2.229,9
JERMAINE,0.028,2.257,0
FORREST,0.027,2.284,1
WILBERT,0.027,2.310,2
LELAND,0.027,2.337,3
SIMON,0.026,2.363,4
GUADALUPE,0.026,2.390,5
CLARK,0.026,2.416,6
IRVING,0.026,2.442,7
CARROLL,0.026,2.468,8
BRYANT,0.026,2.494,9
OWEN,0.026,2.519,0
RUFUS,0.025,2.545,1
WOODROW,0.025,2.570,2
SAMMY,0.025,2.595,3
KRISTOPHER,0.025,2.620,4
MACK,0.025,2.645,5
LEVI,0.025,2.670,6
MARCOS,0.025,2.695,7
GUSTAVO,0.025,2.720,8
JAKE,0.025,2.744,9
LIONEL,0.024,2.769,0
MARTY,0.024,2.793,1
TAYLOR,0.024,2.817,2
ELLIS,0.024,2.842,3
DALLAS,0.024,2.866,4
GILBERTO,0.024,2.890,5
CLINT,0.024,2.914,6
NICOLAS,0.024,2.938,7
LAURENCE,0.024,2.962,8
ISMAEL,0.024,2.985,9
ORVILLE,0.024,3.009,0
DREW,0.024,3.033,1
JODY,0.024,3.056,2
ERVIN,0.023,3.080,3
DEWEY,0.023,3.103,4
AL,0.023,3.126,5
WILFRED,0.023,3.150,6
JOSH,0.023,3.173,7
HUGO,0.023,3.196,8
IGNACIO,0.023,3.219,9
CALEB,0.023,3.241,0
TOMAS,0.023,3.264,1
SHELDON,0.023,3.287,2
ERICK,0.023,3.310,3
FRANKIE,0.023,3.332,4
STEWART,0.022,3.354,5
DOYLE,0.022,3.377,6
DARREL,0.022,3.399,7
ROGELIO,0.022,3.421,8
TERENCE,0.022,3.443,9
SANTIAGO,0.022,3.465,0
ALONZO,0.022,3.487,1
ELIAS,0.022,3.508,2
BERT,0.022,3.530,3
ELBERT,0.022,3.552,4
RAMIRO,0.022,3.573,5
CONRAD,0.022,3.595,6
PAT,0.022,3.616,7
NOAH,0.022,3.638,8
GRADY,0.021,3.659,9
PHIL,0.021,3.681,0
CORNELIUS,0.021,3.702,1
LAMAR,0.021,3.723,2
ROLANDO,0.021,3.744,3
CLAY,0.021,3.765,4
PERCY,0.021,3.786,5
DEXTER,0.021,3.806,6
BRADFORD,0.021,3.827,7
MERLE,0.021,3.848,8
DARIN,0.020,3.868,9
AMOS,0.020,3.888,0
TERRELL,0.020,3.909,1
MOSES,0.020,3.929,2
IRVIN,0.020,3.949,3
SAUL,0.020,3.968,4
ROMAN,0.020,3.988,5
DARNELL,0.020,4.008,6
RANDAL,0.020,4.027,7
TOMMIE,0.020,4.047,8
TIMMY,0.019,4.066,9
DARRIN,0.019,4.086,0
WINSTON,0.019,4.105,1
BRENDAN,0.019,4.124,2
TOBY,0.019,4.144,3
VAN,0.019,4.163,4
ABEL,0.019,4.182,5
DOMINICK,0.019,4.201,6
BOYD,0.019,4.220,7
COURTNEY,0.019,4.240,8
JAN,0.019,4.259,9
EMILIO,0.019,4.277,0
ELIJAH,0.019,4.296,1
CARY,0.019,4.315,2
DOMINGO,0.019,4.334,3
SANTOS,0.019,4.353,4
AUBREY,0.019,4.372,5
EMMETT,0.019,4.390,6
MARLON,0.019,4.409,7
EMANUEL,0.019,4.428,8
JERALD,0.019,4.446,9
EDMOND,0.019,4.465,0
EMIL,0.019,4.483,1
DEWAYNE,0.018,4.502,2
WILL,0.018,4.520,3
OTTO,0.018,4.538,4
TEDDY,0.018,4.556,5
REYNALDO,0.018,4.574,6
BRET,0.018,4.592,7
MORGAN,0.018,4.610,8
JESS,0.018,4.628,9
TRENT,0.018,4.646,0
HUMBERTO,0.018,4.664,1
EMMANUEL,0.018,4.681,2
STEPHAN,0.018,4.699,3
LOUIE,0.018,4.717,4
VICENTE,0.017,4.734,5
LAMONT,0.017,4.751,6
STACY,0.017,4.769,7
GARLAND,0.017,4.786,8
MILES,0.017,4.803,9
MICAH,0.017,4.820,0
EFRAIN,0.017,4.837,1
BILLIE,0.017,4.854,2
LOGAN,0.017,4.871,3
HEATH,0.017,4.887,4
RODGER,0.017,4.904,5
HARLEY,0.017,4.921,6
DEMETRIUS,0.017,4.937,7
ETHAN,0.017,4.954,8
ELDON,0.017,4.970,9
ROCKY,0.016,4.987,0
PIERRE,0.016,5.003,1
JUNIOR,0.016,5.020,2
FREDDY,0.016,5.036,3
ELI,0.016,5.052,4
BRYCE,0.016,5.068,5
ANTOINE,0.016,5.084,6
ROBBIE,0.016,5.100,7
KENDALL,0.016,5.116,8
ROYCE,0.016,5.132,9
STERLING,0.016,5.148,0
MICKEY,0.016,5.164,1
CHASE,0.016,5.180,2
GROVER,0.016,5.196,3
ELTON,0.016,5.212,4
CLEVELAND,0.016,5.228,5
DYLAN,0.016,5.243,6
CHUCK,0.016,5.259,7
DAMIAN,0.016,5.274,8
REUBEN,0.015,5.290,9
STAN,0.015,5.305,0
AUGUST,0.015,5.321,1
LEONARDO,0.015,5.336,2
JASPER,0.015,5.351,3
RUSSEL,0.015,5.367,4
ERWIN,0.015,5.382,5
BENITO,0.015,5.397,6
HANS,0.015,5.412,7
MONTE,0.015,5.427,8
BLAINE,0.015,5.442,9
ERNIE,0.015,5.456,0
CURT,0.015,5.471,1
QUENTIN,0.015,5.486,2
AGUSTIN,0.015,5.500,3
MURRAY,0.015,5.515,4
JAMAL,0.014,5.529,5
DEVON,0.014,5.544,6
ADOLFO,0.014,5.558,7
HARRISON,0.014,5.573,8
TYSON,0.014,5.587,9
BURTON,0.014,5.601,0
BRADY,0.014,5.616,1
ELLIOTT,0.014,5.630,2
WILFREDO,0.014,5.644,3
BART,0.014,5.658,4
JARROD,0.014,5.672,5
VANCE,0.014,5.686,6
DENIS,0.014,5.700,7
DAMIEN,0.014,5.714,8
JOAQUIN,0.014,5.728,9
HARLAN,0.014,5.742,0
DESMOND,0.014,5.756,1
ELLIOT,0.014,5.770,2
DARWIN,0.014,5.783,3
ASHLEY,0.014,5.797,4
GREGORIO,0.014,5.811,5
BUDDY,0.014,5.824,6
XAVIER,0.013,5.838,7
KERMIT,0.013,5.851,8
ROSCOE,0.013,5.865,9
ESTEBAN,0.013,5.878,0
ANTON,0.013,5.891,1
SOLOMON,0.013,5.904,2
SCOTTY,0.013,5.917,3
NORBERT,0.013,5.930,4
ELVIN,0.013,5.943,5
WILLIAMS,0.013,5.956,6
NOLAN,0.013,5.969,7
CAREY,0.013,5.982,8
ROD,0.013,5.994,9
QUINTON,0.013,6.007,0
HAL,0.013,6.020,1
BRAIN,0.013,6.033,2
ROB,0.013,6.045,3
ELWOOD,0.013,6.058,4
KENDRICK,0.013,6.070,5
DARIUS,0.013,6.083,6
MOISES,0.013,6.096,7
SON,0.012,6.108,8
MARLIN,0.012,6.120,9
FIDEL,0.012,6.133,0
THADDEUS,0.012,6.145,1
CLIFF,0.012,6.158,2
MARCEL,0.012,6.170,3
ALI,0.012,6.182,4
JACKSON,0.012,6.195,5
RAPHAEL,0.012,6.207,6
BRYON,0.012,6.219,7
ARMAND,0.012,6.231,8
ALVARO,0.012,6.244,9
JEFFRY,0.012,6.256,0
DANE,0.012,6.268,1
JOESPH,0.012,6.280,2
THURMAN,0.012,6.292,3
NED,0.012,6.304,4
SAMMIE,0.012,6.316,5
RUSTY,0.012,6.328,6
MICHEL,0.012,6.339,7
MONTY,0.012,6.351,8
RORY,0.012,6.363,9
FABIAN,0.012,6.374,0
REGGIE,0.012,6.386,1
MASON,0.012,6.397,2
GRAHAM,0.012,6.409,3
KRIS,0.011,6.420,4
ISAIAH,0.011,6.432,5
VAUGHN,0.011,6.443,6
GUS,0.011,6.454,7
AVERY,0.011,6.466,8
LOYD,0.011,6.477,9
DIEGO,0.011,6.488,0
ALEXIS,0.011,6.499,1
ADOLPH,0.011,6.511,2
NORRIS,0.011,6.522,3
MILLARD,0.011,6.533,4
ROCCO,0.011,6.544,5
GONZALO,0.011,6.555,6
DERICK,0.011,6.566,7
RODRIGO,0.011,6.577,8
GERRY,0.011,6.588,9
STACEY,0.011,6.599,0
CARMEN,0.011,6.610,1
WILEY,0.011,6.621,2
RIGOBERTO,0.011,6.632,3
ALPHONSO,0.011,6.643,4
TY,0.011,6.654,5
SHELBY,0.011,6.664,6
RICKIE,0.011,6.675,7
NOE,0.011,6.686,8
VERN,0.010,6.696,9
BOBBIE,0.010,6.707,0
REED,0.010,6.717,1
JEFFERSON,0.010,6.727,2
ELVIS,0.010,6.738,3
BERNARDO,0.010,6.748,4
MAURICIO,0.010,6.758,5
HIRAM,0.010,6.768,6
DONOVAN,0.010,6.778,7
BASIL,0.010,6.789,8
RILEY,0.010,6.799,9
OLLIE,0.010,6.809,0
NICKOLAS,0.010,6.819,1
MAYNARD,0.010,6.829,2
SCOT,0.010,6.840,3
VINCE,0.010,6.850,4
QUINCY,0.010,6.860,5
EDDY,0.010,6.870,6
SEBASTIAN,0.010,6.880,7
FEDERICO,0.010,6.890,8
ULYSSES,0.010,6.900,9
HERIBERTO,0.010,6.910,0
DONNELL,0.010,6.920,1
COLE,0.010,6.929,2
DENNY,0.010,6.939,3
DAVIS,0.010,6.949,4
GAVIN,0.010,6.959,5
EMERY,0.010,6.969,6
WARD,0.010,6.979,7
ROMEO,0.010,6.989,8
JAYSON,0.010,6.998,9
DION,0.010,7.008,0
DANTE,0.010,7.018,1
CLEMENT,0.010,7.028,2
COY,0.010,7.037,3
ODELL,0.010,7.047,4
MAXWELL,0.010,7.057,5
JARVIS,0.010,7.066,6
BRUNO,0.010,7.076,7
ISSAC,0.010,7.086,8
MARY,0.009,7.095,9
DUDLEY,0.009,7.104,0
BROCK,0.009,7.114,1
SANFORD,0.009,7.123,2
COLBY,0.009,7.133,3
CARMELO,0.009,7.142,4
BARNEY,0.009,7.152,5
NESTOR,0.009,7.161,6
HOLLIS,0.009,7.170,7
STEFAN,0.009,7.180,8
DONNY,0.009,7.189,9
ART,0.009,7.198,0
LINWOOD,0.009,7.208,1
BEAU,0.009,7.217,2
WELDON,0.009,7.226,3
GALEN,0.009,7.235,4
ISIDRO,0.009,7.244,5
TRUMAN,0.009,7.253,6
DELMAR,0.009,7.262,7
JOHNATHON,0.009,7.271,8
